file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-30_RNAi-58111.51941-1_group1_32,32,45.568,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_33,33,91.189,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-60074.51941-1_group1_17,17,26.095,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_18,18,162.491,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_19,19,151.545,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_20,20,128.438,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_21,21,118.029,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_29,29,151.545,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_30,30,150.595,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_31,31,46.364,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_32,32,56.354,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60074.51941-1_group1_33,33,27.132,2021-03-30,group1,1,60074,51941,60074_51941,attP40,FBgn0051207
2021-03-30_RNAi-60119.51941-1_group1_20,20,106.167,2021-03-30,group1,1,60119,51941,60119_51941,attP40,FBgn0038852
2021-03-30_RNAi-60119.51941-1_group1_21,21,179.587,2021-03-30,group1,1,60119,51941,60119_51941,attP40,FBgn0038852
2021-03-30_RNAi-60119.51941-1_group1_22,22,119.01,2021-03-30,group1,1,60119,51941,60119_51941,attP40,FBgn0038852
2021-03-30_RNAi-60119.51941-1_group1_23,23,183.104,2021-03-30,group1,1,60119,51941,60119_51941,attP40,FBgn0038852
